date,open,high,low,close,adjusted_close,volume,warning
2024-06-10,146.53,147.56,145.6,147.13,142.4899,5751300,
2024-06-11,146.81,147.16,145.44,146.76,142.1316,5661200,
2024-06-12,147.06,147.21,144.78,145.41,140.8242,6180500,
2024-06-13,145.07,146.0,143.88,145.45,140.8629,6840400,
2024-06-14,145.14,145.97,144.48,145.54,140.9501,4075300,
2024-06-17,145.02,146.43,144.74,145.95,141.3472,6666600,
2024-06-18,145.96,146.39,145.26,145.65,141.0566,6156600,
2024-06-20,145.27,148.08,145.01,147.78,143.1194,8749700,
2024-06-21,147.89,149.08,147.37,148.75,144.0589,15176900,
2024-06-24,149.0,149.72,148.17,149.12,144.4172,6914700,
2024-06-25,149.18,149.2,146.94,147.19,142.5481,6620300,
2024-06-26,146.2,147.19,145.78,146.82,142.1897,5267800,
2024-06-27,146.8,147.36,144.84,145.8,141.2019,5739200,
2024-06-28,146.04,147.07,145.65,146.16,141.5505,10495700,
2024-07-01,146.07,148.7,145.62,146.44,141.8217,5144400,
2024-07-02,146.43,147.15,145.74,146.03,141.4246,5492000,
2024-07-03,146.2,146.65,144.74,145.69,141.0954,3246200,
2024-07-05,145.77,146.55,144.5,146.48,141.8604,4888500,
2024-07-08,146.4,147.22,145.25,145.48,140.892,5260200,
2024-07-09,145.67,147.13,145.18,147.05,142.4125,5890400,
2024-07-10,147.26,149.47,146.68,149.43,144.7174,6093200,
2024-07-11,149.58,150.58,148.64,149.7,144.9789,6350400,
2024-07-12,150.0,150.88,149.24,149.88,145.1532,5336400,
2024-07-15,150.08,150.25,148.87,149.24,144.5334,6711400,
2024-07-16,149.69,151.08,149.16,151.01,146.2476,6469600,
2024-07-17,151.55,157.49,151.42,156.58,151.6419,13801400,
2024-07-18,155.6,157.07,154.62,155.42,150.5185,10166200,
2024-07-19,156.51,156.51,154.12,154.69,149.8115,7398000,
2024-07-22,154.77,155.11,153.59,154.24,149.3757,6840600,
2024-07-23,153.31,153.5,151.57,152.35,147.5453,6261900,
2024-07-24,152.76,156.41,152.33,156.28,151.3514,7168200,
2024-07-25,156.48,160.58,156.0,159.64,154.6054,10019600,
2024-07-26,159.75,161.58,159.47,160.64,155.5739,8356900,
2024-07-29,159.97,160.0,158.05,158.56,153.5595,5625000,
2024-07-30,158.54,161.55,158.36,161.33,156.2421,6545700,
2024-07-31,159.85,160.35,157.74,157.85,152.8719,8293200,
2024-08-01,158.48,160.81,157.71,160.76,155.6901,7213400,
2024-08-02,161.9,164.85,161.0,164.14,158.9635,11280400,
2024-08-05,163.79,165.78,160.58,161.25,156.1646,12032200,
2024-08-06,161.05,161.48,158.94,158.97,153.9565,7607100,
2024-08-07,158.87,160.62,158.19,158.9,153.8888,5993000,
2024-08-08,158.57,160.7,158.03,160.22,155.1671,5094800,
2024-08-09,160.12,160.93,159.34,160.62,155.5545,4579200,
2024-08-12,160.97,161.7,158.71,159.88,154.8378,7605400,
2024-08-13,160.27,160.37,156.44,158.39,153.3948,9711400,
2024-08-14,157.83,159.55,157.4,158.48,153.482,5141200,
2024-08-15,158.37,159.5,157.84,159.09,154.0728,7237800,
2024-08-16,159.14,159.94,158.18,159.39,154.3633,5012800,
2024-08-19,159.46,160.29,159.13,159.63,154.5957,4408400,
2024-08-20,160.0,160.93,159.67,160.16,155.109,7275100,
2024-08-21,160.4,161.48,160.31,161.43,156.339,5019400,
2024-08-22,162.0,162.49,160.79,162.35,157.23,6552100,
2024-08-23,162.5,164.22,161.7,164.13,158.9538,7093400,
2024-08-26,164.17,165.71,163.54,164.61,159.4187,6870600,
2024-08-27,163.5,164.04,162.16,162.95,159.0088,4388700,
2024-08-28,163.0,165.0,162.71,163.92,159.9554,5187000,
2024-08-29,164.63,164.72,163.36,164.23,160.2579,7390100,
2024-08-30,164.12,165.98,163.81,165.86,161.8485,7971000,
2024-09-03,165.24,167.81,164.77,167.16,163.117,6956500,
2024-09-04,167.81,168.85,166.04,167.36,163.3122,6939100,
2024-09-05,167.2,167.37,164.83,164.99,160.9995,4600400,
2024-09-06,165.18,165.94,164.12,164.38,160.4043,6016900,
2024-09-09,164.84,167.41,164.47,166.61,162.5803,7538200,
2024-09-10,167.5,168.46,166.75,167.38,163.3317,6559600,
2024-09-11,166.79,166.79,164.09,164.82,160.8336,5920200,
2024-09-12,164.2,165.1,162.71,164.64,160.658,4540900,
2024-09-13,164.74,165.75,163.82,165.52,161.5167,3693400,
2024-09-16,166.36,167.25,165.78,166.99,162.9511,5187800,
2024-09-17,166.24,167.72,165.93,167.07,163.0292,5066500,
2024-09-18,166.63,168.35,165.74,166.15,162.1314,4722800,
2024-09-19,166.23,166.37,164.42,164.82,160.8336,4956100,
2024-09-20,164.3,164.87,163.55,164.16,160.1896,11839000,
2024-09-23,164.4,164.5,162.72,163.22,159.2723,4671600,
2024-09-24,162.79,163.49,161.55,162.78,158.8429,6041600,
2024-09-25,163.0,163.32,160.36,160.6,156.7157,5420000,
2024-09-26,160.24,161.54,160.02,161.39,157.4866,6122000,
2024-09-27,162.0,163.43,161.34,161.4,157.4963,7553800,
2024-09-30,161.57,162.18,160.68,162.06,158.1404,6010000,
2024-10-01,162.43,162.75,161.18,161.99,158.0721,4408000,
2024-10-02,161.51,162.12,160.65,161.17,157.2719,4684400,
2024-10-03,160.78,161.44,160.22,160.5,156.6181,4791200,
2024-10-04,159.63,160.5,158.78,160.29,156.4132,5331100,
2024-10-07,160.25,160.86,159.22,159.53,155.6716,4266000,
2024-10-08,159.49,160.25,158.95,159.69,155.8277,4766300,
2024-10-09,159.92,161.22,159.51,160.65,156.7645,6047200,
2024-10-10,161.36,161.39,160.0,160.51,156.6279,4793900,
2024-10-11,162.18,162.66,161.2,161.46,157.5549,5253500,
2024-10-14,161.4,162.14,160.9,161.6,157.6915,5964000,
2024-10-15,160.0,166.75,159.0,164.1,160.131,10548000,
2024-10-16,164.0,164.99,162.64,164.28,160.3067,5982100,
2024-10-17,164.26,165.0,163.63,164.47,160.4921,4798000,
2024-10-18,164.89,165.29,163.93,165.12,161.1264,5908000,
2024-10-21,165.1,165.25,162.31,162.83,158.8917,6082700,
2024-10-22,162.32,163.73,161.9,163.45,159.4967,5680300,
2024-10-23,162.82,166.0,162.42,165.86,161.8485,7441600,
2024-10-24,165.0,165.51,163.34,163.67,159.7114,5386300,
2024-10-25,163.68,163.92,160.61,160.88,156.9889,6400400,
2024-10-28,161.13,161.97,161.0,161.6,157.6915,4842500,
2024-10-29,161.46,162.17,160.06,160.09,156.218,5216900,
2024-10-30,159.45,161.28,159.03,160.61,156.7254,5820500,
2024-10-31,159.99,160.87,159.46,159.86,155.9936,8613900,
2024-11-01,160.58,161.06,159.88,160.13,156.257,5256400,
2024-11-04,159.7,160.28,158.07,158.24,154.4128,4644000,
2024-11-05,157.67,158.59,156.35,158.35,154.5201,6547100,
2024-11-06,159.9,160.85,157.35,157.88,154.0615,8926600,
2024-11-07,158.47,158.75,156.51,156.73,152.9393,7522800,
2024-11-08,157.0,157.08,155.41,155.47,151.7098,8926100,
2024-11-11,155.62,157.58,154.91,155.04,151.2902,7146800,
2024-11-12,154.53,155.04,152.37,152.64,148.9482,7181400,
2024-11-13,152.5,153.51,151.42,153.24,149.5337,7161900,
2024-11-14,153.18,153.59,150.76,151.87,148.1968,7716400,
2024-11-15,150.9,154.43,150.9,154.0,150.2753,11328500,
2024-11-18,152.59,155.33,152.33,154.77,151.0267,7514200,
2024-11-19,153.95,153.99,152.05,153.0,149.2995,8233700,
2024-11-20,153.03,153.25,151.81,153.11,149.4068,9061300,
2024-11-21,153.62,156.06,152.81,155.5,151.739,10141100,
2024-11-22,155.9,157.12,154.11,155.17,151.417,8266000,
2024-11-25,155.17,157.04,155.14,155.78,152.0123,12256200,
