date,open,high,low,close,adjusted_close,volume,warning
2024-06-10,196.9,197.3,192.15,193.12,192.221,97262100,
2024-06-11,193.65,207.16,193.63,207.15,206.1857,172373300,
2024-06-12,207.37,220.2,206.9,213.07,212.0782,198134300,
2024-06-13,214.74,216.75,211.6,214.24,213.2427,97862700,
2024-06-14,213.85,215.17,211.3,212.49,211.5009,70122700,
2024-06-17,213.37,218.95,212.72,216.67,215.6614,93728300,
2024-06-18,217.59,218.63,213.0,214.29,213.2925,79943300,
2024-06-20,213.93,214.24,208.85,209.68,208.704,86172500,
2024-06-21,210.39,211.89,207.11,207.49,206.5242,246421400,
2024-06-24,207.72,212.7,206.59,208.14,207.1711,80727000,
2024-06-25,209.15,211.38,208.61,209.07,208.0968,56713900,
2024-06-26,211.5,214.86,210.64,213.25,212.2573,66213200,
2024-06-27,214.69,215.74,212.35,214.1,213.1034,49772700,
2024-06-28,215.77,216.07,210.3,210.62,209.6396,82542700,
2024-07-01,212.09,217.51,211.92,216.75,215.7411,60402900,
2024-07-02,216.15,220.38,215.1,220.27,219.2447,58046200,
2024-07-03,220.0,221.55,219.03,221.55,220.5187,37369800,
2024-07-05,221.65,226.45,221.65,226.34,225.2864,60412400,
2024-07-08,227.09,227.85,223.25,227.82,226.7595,59085900,
2024-07-09,227.93,229.4,226.37,228.68,227.6155,48076100,
2024-07-10,229.3,233.08,229.25,232.98,231.8955,62627700,
2024-07-11,231.39,232.39,225.77,227.57,226.5107,64710600,
2024-07-12,228.92,232.64,228.68,230.54,229.4669,53046500,
2024-07-15,236.48,237.23,233.09,234.4,233.3089,62631300,
2024-07-16,235.0,236.27,232.33,234.82,233.7269,43234300,
2024-07-17,229.45,231.46,226.64,228.88,227.8146,57345900,
2024-07-18,230.28,230.44,222.27,224.18,223.1365,66034600,
2024-07-19,224.82,226.8,223.28,224.31,223.2659,49151500,
2024-07-22,227.01,227.78,223.09,223.96,222.9175,48201800,
2024-07-23,224.37,226.94,222.68,225.01,223.9626,39960300,
2024-07-24,224.0,224.8,217.13,218.54,217.5227,61777600,
2024-07-25,218.93,220.85,214.62,217.49,216.4776,51391200,
2024-07-26,218.7,219.49,216.01,217.96,216.9454,41601300,
2024-07-29,216.96,219.3,215.75,218.24,217.2241,36311800,
2024-07-30,219.19,220.33,216.12,218.8,217.7815,41643800,
2024-07-31,221.44,223.82,220.63,222.08,221.0462,50036300,
2024-08-01,224.37,224.48,217.02,218.36,217.3436,62501000,
2024-08-02,219.15,225.6,217.71,219.86,218.8366,105568600,
2024-08-05,199.09,213.5,196.0,209.27,208.2959,119548600,
2024-08-06,205.3,209.99,201.07,207.23,206.2654,69660500,
2024-08-07,206.9,213.64,206.39,209.82,208.8433,63516400,
2024-08-08,213.11,214.2,208.83,213.31,212.3171,47161100,
2024-08-09,212.1,216.78,211.97,216.24,215.2334,42201600,
2024-08-12,216.07,219.51,215.6,217.53,216.768,38028100,
2024-08-13,219.01,221.89,219.01,221.27,220.4949,44155300,
2024-08-14,220.57,223.03,219.7,221.72,220.9434,41960600,
2024-08-15,224.6,225.35,222.76,224.72,223.9328,46414000,
2024-08-16,223.92,226.83,223.65,226.05,225.2582,44340200,
2024-08-19,225.72,225.99,223.04,225.89,225.0987,40687800,
2024-08-20,225.77,227.17,225.45,226.51,225.7166,30299000,
2024-08-21,226.52,227.98,225.05,226.4,225.607,34765500,
2024-08-22,227.79,228.34,223.9,224.53,223.7435,43695300,
2024-08-23,225.66,228.22,224.33,226.84,226.0454,38677300,
2024-08-26,226.76,227.28,223.89,227.18,226.3842,30602200,
2024-08-27,226.0,228.85,224.89,228.03,227.2313,35934600,
2024-08-28,227.92,229.86,225.68,226.49,225.6966,38052200,
2024-08-29,230.1,232.92,228.88,229.79,228.9851,51906300,
2024-08-30,230.19,230.4,227.48,229.0,228.1979,52990800,
2024-09-03,228.55,229.0,221.17,222.77,221.9897,50190600,
2024-09-04,221.66,221.78,217.48,220.85,220.0764,43840200,
2024-09-05,221.63,225.48,221.52,222.38,221.601,36615400,
2024-09-06,223.95,225.24,219.77,220.82,220.0465,48423000,
2024-09-09,220.82,221.27,216.71,220.91,220.1362,67180000,
2024-09-10,218.92,221.48,216.73,220.11,219.339,51591000,
2024-09-11,221.46,223.09,217.89,222.66,221.8801,44587100,
2024-09-12,222.5,223.55,219.82,222.77,221.9897,37498200,
2024-09-13,223.58,224.04,221.91,222.5,221.7206,36766600,
2024-09-16,216.54,217.22,213.92,216.32,215.5623,59357400,
2024-09-17,215.75,216.9,214.5,216.79,216.0306,45519300,
2024-09-18,217.55,222.71,217.54,220.69,219.917,59894900,
2024-09-19,224.99,229.82,224.63,228.87,228.0683,66781300,
2024-09-20,229.97,233.09,227.62,228.2,227.4007,318679900,
2024-09-23,227.34,229.45,225.81,226.47,225.6767,54146000,
2024-09-24,228.65,229.35,225.73,227.37,226.5736,43556100,
2024-09-25,224.93,227.29,224.02,226.37,225.5771,42308700,
2024-09-26,227.3,228.5,225.41,227.52,226.723,36636700,
2024-09-27,228.46,229.52,227.3,227.79,226.9921,34026000,
2024-09-30,230.04,233.0,229.65,233.0,232.1838,54541900,
2024-10-01,229.52,229.65,223.74,226.21,225.4176,63285000,
2024-10-02,225.89,227.37,223.02,226.78,225.9856,32880600,
2024-10-03,225.14,226.81,223.32,225.67,224.8795,34044200,
2024-10-04,227.9,228.0,224.13,226.8,226.0056,37245100,
2024-10-07,224.5,225.69,221.33,221.69,220.9135,39505400,
2024-10-08,224.3,225.98,223.25,225.77,224.9792,31855700,
2024-10-09,225.23,229.75,224.83,229.54,228.736,33591100,
2024-10-10,227.78,229.5,227.17,229.04,228.2377,28183500,
2024-10-11,229.3,229.41,227.34,227.55,226.7529,31759200,
2024-10-14,228.7,231.73,228.6,231.3,230.4898,39882100,
2024-10-15,233.61,237.49,232.37,233.85,233.0309,64751400,
2024-10-16,231.6,232.12,229.84,231.78,230.9681,34082200,
2024-10-17,233.43,233.85,230.52,232.15,231.3368,32993800,
2024-10-18,236.18,236.18,234.01,235.0,234.1768,46431500,
2024-10-21,234.45,236.85,234.45,236.48,235.6517,36254500,
2024-10-22,233.89,236.22,232.6,235.86,235.0338,38846600,
2024-10-23,234.08,235.14,227.76,230.76,229.9517,52287000,
2024-10-24,229.98,230.82,228.41,230.57,229.7624,31109500,
2024-10-25,229.74,233.22,229.57,231.41,230.5994,38802300,
2024-10-28,233.32,234.73,232.55,233.4,232.5824,36087100,
2024-10-29,233.1,234.33,232.32,233.67,232.8515,35417200,
2024-10-30,232.61,233.47,229.55,230.1,229.294,47070900,
2024-10-31,229.34,229.83,225.37,225.91,225.1187,64370100,
2024-11-01,220.97,225.35,220.27,222.91,222.1292,65276700,
2024-11-04,220.99,222.79,219.71,222.01,221.2323,44944500,
2024-11-05,221.8,223.95,221.14,223.45,222.6673,28111300,
2024-11-06,222.61,226.07,221.19,222.72,221.9399,54561100,
2024-11-07,224.63,227.88,224.57,227.48,226.6832,42137700,
2024-11-08,227.17,228.66,226.41,226.96,226.4138,38328800,
2024-11-11,225.0,225.7,221.5,224.23,223.6904,42005600,
2024-11-12,224.55,225.59,223.36,224.23,223.6904,40398300,
2024-11-13,224.01,226.65,222.76,225.12,224.5783,48566200,
2024-11-14,225.02,228.87,225.0,228.22,227.6708,44923900,
2024-11-15,226.4,226.92,224.27,225.0,224.4585,47923700,
2024-11-18,225.25,229.74,225.17,228.02,227.4713,44686000,
2024-11-19,226.98,230.16,226.66,228.28,227.7307,36211800,
2024-11-20,228.06,229.93,225.89,229.0,228.4489,35169600,
2024-11-21,228.88,230.16,225.71,228.52,227.9701,42108300,
2024-11-22,228.06,230.72,228.06,229.87,229.3168,38168300,
2024-11-25,231.46,233.25,229.74,232.87,232.3096,90152800,
2024-11-26,233.33,235.57,233.33,235.06,234.4943,45986200,
2024-11-27,234.47,235.69,233.81,234.93,234.3647,33498400,
2024-11-29,234.81,237.81,233.97,237.33,236.7589,28481400,
2024-12-02,237.27,240.79,237.16,239.59,239.0134,48137100,
2024-12-03,239.81,242.76,238.9,242.65,242.0661,38861000,
2024-12-04,242.87,244.11,241.25,243.01,242.4252,44383900,
2024-12-05,243.99,244.54,242.13,243.04,242.4551,40033900,
2024-12-06,242.91,244.63,242.08,242.84,242.2556,36870600,
2024-12-09,241.83,247.24,241.75,246.75,246.1562,44649200,
2024-12-10,246.89,248.21,245.34,247.77,247.1738,36914800,
2024-12-11,247.96,250.8,246.26,246.49,245.8968,45205800,
2024-12-12,246.89,248.74,245.68,247.96,247.3633,32777500,
2024-12-13,247.82,249.29,246.24,248.13,247.5329,33155300,
2024-12-16,247.99,251.38,247.65,251.04,250.4359,51694800,
2024-12-17,250.08,253.83,249.78,253.48,252.87,51356400,
2024-12-18,252.16,254.28,247.74,248.05,247.4531,56774100,
2024-12-19,247.5,252.0,247.09,249.79,249.1889,60882300,
2024-12-20,248.04,255.0,245.69,254.49,253.8776,147495300,
2024-12-23,254.77,255.65,253.45,255.27,254.6557,40858800,
2024-12-24,255.49,258.21,255.29,258.2,257.5787,23234700,
2024-12-26,258.19,260.1,257.63,259.02,258.3967,27237100,
2024-12-27,257.83,258.7,253.06,255.59,254.9749,42355300,
2024-12-30,252.23,253.5,250.75,252.2,251.5931,35557500,
2024-12-31,252.44,253.28,249.43,250.42,249.8174,39480700,
2025-01-02,248.93,249.1,241.82,243.85,243.2632,55740700,
